#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
114,"Total Recall","The Sound",33,145,"post-punk, cold wave, gothic rock, new wave, darkwave, deathrock","Electronic, Rock, Pop","Heads & Hearts",1985-00-00,04:34,39,78,0,0,68,0,10,-6,E,4,2023-04-30,1ROG1HAOwBbfQsf5Ioyqyt,"Edsel",12B,GBBLG8500242
115,"Lovesong - Remastered","The Cure",72,140,"new wave, post-punk, gothic rock, darkwave","Electronic, Rock, Pop","Disintegration (Deluxe Edition)",1989-05-02,03:28,61,79,33,86,86,0,20,-8,A minor,4,2023-04-30,2mIrfke7vosXAEWfz6ucyo,"UMC (Universal Music Catalogue)",8A,GBUM71000211
116,"Vtr","The Twilight Sad",35,136,"shoegaze, post-punk","Rock","IT WON/T BE LIKE THIS ALL THE TIME",2019-01-18,04:16,48,99,0,9,27,10,20,-4,A minor,4,2023-04-30,4CFaIc1grIvR8K4IZv8xQk,"Rock Action Records",8A,GBGDZ1800027
117,"Children of the Sun","Dead Can Dance",28,120,"darkwave, gothic rock, neoklassik, deathrock, new age, post-punk, cold wave","Electronic, Rock, New Age","Anastasis",2012-08-13,07:33,44,48,21,42,16,0,0,-9,F#/G♭ minor,4,2023-04-30,57Dqlvsn8WcsPFVZzRw3iO,"[PIAS]",11A,GBENL1200652
118,"The Hunger","Bat For Lashes",29,90,"art pop, dream pop","Pop, Rock","Lost Girls",2019-09-06,04:59,44,75,4,2,40,0,10,-10,E minor,4,2023-04-30,7l9yrvHssOAcOUcrV39lQX,"Bat For Lashes",9A,GBWWP1905066
119,"Five Seconds","Twin Shadow",41,177,"","","Confess",2012-07-09,04:20,47,88,0,1,65,0,40,-5,C♯/D♭,4,2023-04-30,6PGToxtt6KrZztJe6j66in,"4AD",3B,GBAFL1200151
120,"Our Past","Hundreds",0,124,"","","Aftermath",2014-03-14,04:00,61,77,5,3,69,0,30,-10,C♯/D♭,4,2023-04-30,5aALzpp1PHe7QZz8rD2doB,"Sinnbus",3B,DEAH11400105
121,"Crystal Lake","Teeel",28,90,"synthwave, chillwave","Electronic","University Heights",2012-02-22,03:04,54,81,1,0,57,0,10,-6,A#/B♭ minor,4,2023-04-30,5aPb0NLa1KmroAO1eE5VeS,"Synthemesc Recordings",3A,USLZJ1248976
122,"This Twilight Garden","The Cure",21,184,"new wave, post-punk, gothic rock, darkwave","Electronic, Rock, Pop","Join The Dots - The B-Sides & Rarities",2004-01-01,04:44,28,81,16,2,32,0,0,-6,C minor,4,2023-05-22,2iivTWGvz4iI8j2PICOZm4,"UMC (Universal Music Catalogue)",5A,GBALB0300038
123,"Dot in the Sky","Drab Majesty",44,115,"darkwave, cold wave, post-punk, gothic rock, deathrock, synthpop","Electronic, Rock, Pop","The Demonstration",2017-01-27,05:26,52,95,4,1,49,0,20,-6,G#/A♭,4,2025-05-26,2JDYNDcTJVpkuqKiJrIghn,"Dais Records",4B,QMBZ91673224
124,"Black Hearted Love","PJ Harvey, John Parish",41,106,"art pop, singer-songwriter, alternative rock","Rock, Pop, Folk","A Woman A Man Walked By",2009-01-01,04:35,51,62,0,1,29,0,0,-7,B minor,4,2025-05-26,0TYC36fmbYl54IqTxjdmDa,"Universal-Island Records Ltd.",10A,GBUM70819057
125,"As I Sat Sadly by Her Side - 2011 Remaster","Nick Cave & The Bad Seeds",41,103,"","","No More Shall We Part (2011 Remaster)",2001-04-02,06:15,62,36,86,0,27,0,10,-10,A minor,4,2025-05-26,3ee4rw1QioXscL5WC8HRXV,"Mute, a BMG Company",8A,GBAJH1000683
126,"Now We Hear the Call","Absurd Minds",21,90,"ebm, industrial, darkwave, synthpop","Electronic, Rock, Pop","Tempus Fugit",2017-01-27,04:44,51,93,1,0,69,0,0,-7,A#/B♭ minor,4,2025-05-26,5dXBtKIdeuvq8mwopVs39v,"Scanner",3A,DEOV41601306
127,"Summer in Berlin","Alphaville",44,129,"synthpop","Electronic, Pop","Forever Young",1984-00-00,04:44,70,43,6,10,90,0,10,-17,C,4,2025-05-26,7vVjQjtbBqwMqjzf72Qplh,"WM Germany",8B,DEA629263480
128,"Scarlet Arch","And Also The Trees",11,134,"deathrock, gothic rock, post-punk, cold wave, darkwave, art rock","Rock, Electronic","Virus Meadow",1986-05-01,04:00,43,87,1,42,57,0,10,-10,A#/B♭ minor,3,2025-05-26,1D41sYdSGcOzczRBKLP98f,"AATT",3A,GBTKD2100011
129,"Devil inside","Aux Animaux",21,100,"darkwave, cold wave, post-punk, ebm, gothic rock, deathrock","Electronic, Rock","Hauntology",2022-12-02,04:32,50,67,0,3,10,0,50,-9,D,4,2025-05-26,5NqCdUjIvy8T83GsyyIUK4,"Phonophobic records",10B,QZNWU2240053
130,"Another World","Beborn Beton",33,120,"ebm, synthpop, industrial, darkwave","Electronic, Rock, Pop","Truth",1997-04-14,04:27,65,83,69,0,60,0,0,-8,F minor,4,2025-05-26,5hXZg6m3nRRlI24uGCtwuU,"Dependent",4A,DES561591302
131,"Butterflies","Black Nail Cabaret",32,125,"darkwave, cold wave, ebm, synthpop, post-punk, industrial","Electronic, Rock, Pop","Emerald City",2012-06-30,04:02,70,48,7,43,17,0,10,-12,F,4,2025-05-26,7tHqIVXphs7yvQzIgBhFX7,"Black Nail Cabaret",7B,HUA611401372
132,"Into the Night","Antibody, SynthAttack",22,94,"ebm, industrial, darkwave, industrial metal","Electronic, Rock, Metal","Opera of Death",2016-00-00,03:53,47,87,0,91,61,0,20,-5,G,4,2025-05-26,0K1t2WYTpY23IC6r3PIDq5,"DarkTunes Music Group",9B,DESE51700004
133,"Living In Oblivion","Anything Box",41,124,"synthpop, new wave","Pop, Rock, Electronic","Peace",1990-03-20,05:06,65,72,0,0,95,0,0,-5,F minor,4,2025-05-26,3YvWI3uLVvPjnWNgfgXht0,"Epic/Legacy",4A,USSM10026764
134,"Erosion","Balduvian Bears",6,170,"darkwave, cold wave, post-punk, ebm","Electronic, Rock","Erosion",2025-05-09,02:08,31,81,0,34,40,10,10,-8,D,4,2025-05-26,0UiujSvH04vNipkEDH632L,"darkTunes Music Group",10B,DEWG82500046
135,"escape","Balduvian Bears",12,144,"darkwave, cold wave, post-punk, ebm","Electronic, Rock","escape",2025-01-03,03:28,63,71,0,51,93,0,0,-8,D#/E♭ minor,4,2025-05-26,2Ep1dXBgjrM8tqbtKCt6eo,"darkTunes Music Group",2A,DEWG82500049
136,"Shadowdancer","Darkways",38,168,"darkwave, cold wave, post-punk, gothic rock, deathrock, ebm","Electronic, Rock","Resonance",2024-07-12,04:28,41,87,0,2,35,0,20,-7,A minor,3,2025-05-26,6dyEzDXjwb2MhsBCY62SgR,"Darkways",8A,QZWFL2307223
137,"Take Me Away","Deus Ex Lumina",36,120,"darkwave, cold wave, gothic rock, post-punk, ebm, deathrock","Electronic, Rock","Take Me Away",2023-03-10,03:36,53,79,1,94,32,0,10,-9,A#/B♭ minor,4,2025-05-26,2Y7kto4hxS9EwRnJorxMuz,"Deus Ex Lumina",3A,GX8KD2346041
138,"Vampiro","French Police",59,172,"darkwave, post-punk, cold wave, gothic rock, deathrock","Electronic, Rock","Haunted Castle (Extended Play)",2021-04-20,02:16,52,53,0,87,88,0,0,-16,A,4,2025-05-26,2ZgKOGthLtSzmDWde75FtY,"623422 Records DK2",11B,QZHN32119928
139,"HUNNY","French Police",51,93,"darkwave, post-punk, cold wave, gothic rock, deathrock","Electronic, Rock","BLEU",2023-02-28,02:23,51,82,1,87,21,0,30,-7,C,4,2025-05-26,1GNszTPgt9RwTLIOzwfHWb,"FRENCH POLICE",8B,QZFZ62381950
