#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
11,"Something in My Heart","Röyksopp, Jamie Irrepressible",0,150,"downtempo, electronica, trip-hop, melodic techno","Electronic","The Inevitable End",2014-11-14,05:29,74,51,52,85,91,0,0,-10,B minor,4,2019-11-25,5PtOBvpz4oV6JM06K2DW6I,"Embassy One",10A,GBW231400042
12,"One Eye Open","trentemøller",26,95,"minimal techno, electronica","Electronic","Fixion",2016-09-16,04:16,66,66,33,10,36,0,10,-9,C,4,2019-11-25,2J4ADqjlKUelbT6ytMn34o,"In My Room",8B,DEL021670034
13,"Special Needs","Placebo",0,178,"britpop","Pop, Rock","Sleeping With Ghosts",2003-03-24,05:15,30,57,0,80,4,0,0,-10,G#/A♭ minor,4,2019-11-25,2h0HkReHGCQPOEDZXEMcTO,"Elevator Lady Ltd",1A,GBAAA0201210
14,"Disarm","The Smashing Pumpkins",51,129,"alternative rock, rock","Rock","(Rotten Apples) The Smashing Pumpkins Greatest Hits",2001-01-01,03:18,52,43,5,74,20,0,10,-9,E minor,4,2019-11-25,0Wl42CUb1phIU9O2aR1wXI,"Virgin Records",9A,USVI29300030
15,"A rook house for bobby","I LIKE TRAINS",0,144,"post-rock","Rock","Progress - reform",2006-05-23,04:43,28,59,0,39,25,0,0,-5,F#/G♭ minor,3,2019-11-25,0Oejgtqhei8NgltnN6aNzo,"Talitres Records",11A,FR6V80607133
16,"Apathy on the Indiana Border","Emma Ruth Rundle",0,142,"sludge metal, doom metal, drone metal","Metal","On Dark Horses",2018-09-14,04:46,44,75,11,3,23,0,10,-6,A minor,3,2019-11-25,2qogcN91OSedzIGXzM5cxE,"Sargent House",8A,USA2P1821828
17,"Winter","The Blue Angel Lounge",0,127,"neo-psychedelic, psychedelic rock, space rock, shoegaze","Rock","A Sea of Trees",2014-05-09,04:01,57,83,10,75,55,0,0,-7,A minor,3,2019-11-25,0MGvqRHKEs4ndX57PzEZ84,"'a' Records",8A,QMDA71460893
18,"Vervain","Faith And The Muse",14,125,"gothic rock, deathrock, darkwave, post-punk, cold wave","Electronic, Rock","Elyria",1996-06-05,07:07,65,35,7,15,37,0,0,-11,A minor,3,2019-11-25,5fgBbYMB8yr3uvljoDUrWK,"Metropolis Records",8A,US57M0520705
19,"All I Want - Live At The Flowerpot, Kentish Town, July 2010","Sarah Blasko",43,119,"","","The Flowerpot Sessions (2CD Set)",2011-01-01,04:09,39,18,95,0,27,0,60,-14,A minor,3,2019-11-25,5quDJPCAum2ZXgadOI023X,"Co-operative Music",8A,GB6TW1100020
20,"Strange Kind of Love","Peter Murphy",0,128,"gothic rock, darkwave, post-punk, deathrock, new wave, synthpop","Electronic, Rock, Pop","Wild Birds",2000-03-20,03:47,48,25,51,0,18,0,10,-15,E minor,4,2019-11-25,1ODU2jS3aVi1pHfXprqz1j,"Beggars Banquet",9A,GBAZP8900031
21,"Song Among The Pine","Gravenhurst",0,180,"slowcore","Rock","The Western Lands",2007-09-10,04:11,50,33,82,54,35,0,10,-13,D,3,2019-11-25,7MeAdDquCNUFDhMbrMEnAD,"Warp Records",10B,GBBPW0700061
22,"Flugufrelsarinn","Sigur Rós",42,130,"post-rock, dream pop","Pop, Rock","Ágætis byrjun",1999-06-12,07:47,18,60,3,52,8,0,20,-7,B minor,4,2019-11-25,2f4zQEtyo2gja8Kok7sNEc,"Krunk",10A,GBDCA9900069
